ann_return,ann_vol,sharpe
0.049856852750607215,0.06683707284509595,-0.22656807973157503
0.05078275046987751,0.03647109606735218,-0.38982238164345545
0.049072479568517326,0.06686447992842723,-0.23820600187920013
0.055918592068937414,0.0731226824840296,-0.12419412995476496
0.04727078624448362,0.03540514922715526,-0.5007524086897032
0.05464505335492645,0.0431128761535382,-0.2401822278846906
0.052669617037459836,0.07039043614593454,-0.17517128231705548
0.05183413392170378,0.0416775637460322,-0.31589816906103685
0.05680409349036484,0.05255548446190941,-0.15594769211147322
0.04944177283056525,0.04221038723877558,-0.36858764363911245
0.049708081495801436,0.07269956084231566,-0.21034402858865306
0.049361753296295136,0.06694205689244094,-0.23360869727728262
0.05175935282394539,0.06243035210904746,-0.21208669707527988
0.04370566617552642,0.04210100473573766,-0.5057915828407243
0.04881695107971151,0.06201811875021047,-0.2609406613165539
0.055189855981211594,0.028343630894191268,-0.3461145840986412
0.05298487519400217,0.07154965026986307,-0.16792709343344814
0.04971646242735818,0.04554163167350019,-0.3355948614712244
0.06321652818111985,0.08618288242244429,-0.020694037710853937
0.05486838357126037,0.06251211955695402,-0.16207443453439202
0.06160132541570421,0.1004326894396393,-0.033840322341844836
0.04747457027915606,0.030294112960903216,-0.5785094200797957
0.05396229260866853,0.0429721318937193,-0.25685733764921076
0.0604354493555461,0.079678896598316,-0.057286820467219814
0.05818740582625093,0.016081131901086936,-0.4236389711652449
0.04625957705058063,0.06648255828714973,-0.2818848045599603
0.05541555150506555,0.07097373015237984,-0.13504219764632266
0.040549489198797875,0.11665899683376983,-0.20958958558543272
0.04857620612509472,0.06285055063273626,-0.26131503558141944
0.05259480598656534,0.07595378424567548,-0.1633255556208968
0.05918278456241808,0.08279903795627545,-0.07025704140009308
0.04312274669686944,0.06245360756171407,-0.35029607027123877
0.04452003898962498,0.07882051707212225,-0.25983033061855554
0.04258399822886653,0.0692788129155682,-0.3235621516559819
0.061336123528906175,0.0994237734784499,-0.036851110583606767
0.052504837342558175,0.04806149157779805,-0.2599828313113352
0.05285075467995604,0.05480873225694976,-0.22166623491831328
0.055771480830424755,0.023069412407329747,-0.40003269292819565
0.048780610051669455,0.07242915117988698,-0.22393455789710467
0.04483468974297001,0.04178679882833804,-0.48257609633774423
0.04307157455787872,0.0723878137360521,-0.3029297931566074
0.04656278451294011,0.043560006110130174,-0.42326016760526103
0.058632545346762543,0.03384421000625723,-0.18814014722341643
0.04640274963987697,0.08863188356561937,-0.2098257377815332
0.051672892697027926,0.056759155220679675,-0.2348010158212585
0.05258759724546025,0.032996206526078306,-0.37617665972388986
0.05354539164729991,0.037081361851004836,-0.30890473760714077
0.05909984087084355,0.08004274762691449,-0.07371260112980572
0.06019118201612075,0.019019956444411183,-0.2528301259749872
0.0573686693928679,0.022580788682639262,-0.33795677885242686
0.06320561353183117,0.08932587683972094,-0.02008809240561425
0.0433472001356706,0.10030279144063499,-0.2158743495902084
